Date,Open,High,Low,Close,Adj Close,Volume
2023-02-14,191.940002,209.820007,189.440002,209.250000,209.250000,216455700
2023-02-15,211.759995,214.660004,206.110001,214.240005,214.240005,181006400
2023-02-16,210.779999,217.649994,201.839996,202.039993,202.039993,229586500
2023-02-17,199.990005,208.440002,197.500000,208.309998,208.309998,213738500
2023-02-21,204.990005,209.710007,197.220001,197.369995,197.369995,180018600
2023-02-22,197.929993,201.990005,191.779999,200.860001,200.860001,191828500
2023-02-23,203.910004,205.139999,196.330002,202.070007,202.070007,146360000
2023-02-24,196.330002,197.669998,192.800003,196.880005,196.880005,142228100
2023-02-27,202.029999,209.419998,201.259995,207.630005,207.630005,161028300
2023-02-28,210.589996,211.229996,203.750000,205.710007,205.710007,153144900
2023-03-01,206.210007,207.199997,198.520004,202.770004,202.770004,156852800
2023-03-02,186.740005,193.750000,186.009995,190.899994,190.899994,181500700
2023-03-03,194.800003,200.479996,192.880005,197.789993,197.789993,153800400
2023-03-06,198.539993,198.600006,192.300003,193.809998,193.809998,128100100
2023-03-07,191.380005,194.199997,186.100006,187.710007,187.710007,148125800
2023-03-08,185.039993,186.500000,180.000000,182.000000,182.000000,151897800
2023-03-09,180.250000,185.179993,172.509995,172.919998,172.919998,170023800
2023-03-10,175.130005,178.289993,168.440002,173.440002,173.440002,191007900
2023-03-13,167.460007,177.350006,163.910004,174.479996,174.479996,167790300
2023-03-14,177.309998,183.800003,177.139999,183.259995,183.259995,143717900
2023-03-15,180.800003,182.339996,176.029999,180.449997,180.449997,145632300
